time_hour_min,place,location,min_value,max_value,mean_value,median_value,std_dev
00:00,class_a,bottom_left_corner,23.0,23.0,23.0,23.0,0.0
00:00,class_a,bottom_right_corner,21.6,23.4,22.72222222222222,22.9,0.5911382616989389
00:00,class_a,indoor,23.0,24.5,23.766666666666666,23.85,0.49560569003997546
00:00,class_a,top_right_corner,22.5,23.950000000000003,23.294444444444444,23.4,0.4889046714624209
00:00,office,indoor,23.0,24.4,23.744444444444447,23.700000000000003,0.4447221354708773
00:02,class_a,bottom_left_corner,23.0,23.5,23.25,23.25,0.3535533905932738
00:02,class_a,bottom_right_corner,21.5,23.5,22.711111111111112,22.8,0.6411794687223783
00:02,class_a,indoor,23.0,24.55,23.77777777777778,23.85,0.5044248650140526
00:02,class_a,top_right_corner,22.5,23.950000000000003,23.305555555555557,23.4,0.48247049420433763
00:02,office,indoor,23.0,24.4,23.6625,23.55,0.46579425255608936
00:04,class_a,bottom_left_corner,23.0,23.5,23.25,23.25,0.3535533905932738
00:04,class_a,bottom_right_corner,21.5,23.4,22.72222222222222,22.9,0.637921973633489
00:04,class_a,indoor,23.0,24.5,23.77777777777778,23.8,0.4944132324730437
00:04,class_a,top_right_corner,22.5,23.9,23.3,23.4,0.4743416490252566
00:04,office,indoor,23.1,24.5,23.733333333333334,23.6,0.46097722286464365
00:06,class_a,bottom_left_corner,23.0,23.5,23.25,23.25,0.3535533905932738
00:06,class_a,bottom_right_corner,21.5,23.5,22.744444444444444,22.9,0.6463573143221769
00:06,class_a,indoor,23.05,24.53333333333333,23.788888888888888,23.8,0.48918867071463795
00:06,class_a,top_right_corner,22.5,23.950000000000003,23.31666666666667,23.5,0.4860555523805898
00:06,office,indoor,23.0,24.4,23.755555555555556,23.6,0.44472213547087786
00:08,class_a,bottom_left_corner,23.0,23.5,23.25,23.25,0.3535533905932738
00:08,class_a,bottom_right_corner,21.5,23.5,22.733333333333334,22.9,0.6383572667401854
00:08,class_a,indoor,23.0,24.5,23.77777777777778,23.8,0.4937807655675176
00:08,class_a,top_right_corner,22.6,23.950000000000003,23.35,23.5,0.46435439052516786
00:08,office,indoor,22.9,24.4,23.733333333333334,23.6,0.47434164902525633
00:10,class_a,bottom_left_corner,23.0,23.5,23.25,23.25,0.3535533905932738
00:10,class_a,bottom_right_corner,21.5,23.5,22.744444444444447,22.9,0.6306962642808186
00:10,class_a,indoor,23.05,24.55,23.805555555555557,23.75,0.49335867052052157
00:10,class_a,top_right_corner,22.6,24.0,23.37777777777778,23.5,0.4610525397874351
00:10,office,indoor,23.0,24.4,23.744444444444444,23.6,0.4362084109434149
00:12,class_a,bottom_left_corner,23.0,23.5,23.25,23.25,0.3535533905932738
00:12,class_a,bottom_right_corner,21.5,23.4,22.766666666666666,22.9,0.6442049363362559
00:12,class_a,indoor,23.0,24.450000000000003,23.798148148148147,23.8,0.4772202819776875
00:12,class_a,top_right_corner,22.6,24.0,23.38888888888889,23.5,0.4621808207954013
00:12,office,indoor,23.0,24.5,23.78888888888889,23.700000000000003,0.47022453265553055
00:14,class_a,bottom_left_corner,23.0,23.55,23.275,23.275,0.38890872965260287
00:14,class_a,bottom_right_corner,21.4,23.5,22.744444444444444,22.9,0.6747427493332396
00:14,class_a,indoor,23.1,24.55,23.84444444444445,23.85,0.47791503196465523
00:14,class_a,top_right_corner,22.6,23.950000000000003,23.416666666666668,23.55,0.45345892868042714
00:14,office,indoor,23.0,24.6,23.77777777777778,23.700000000000003,0.4918784854457921
00:16,class_a,bottom_left_corner,23.0,23.55,23.275,23.275,0.38890872965260287
00:16,class_a,bottom_right_corner,21.5,23.5,22.77777777777778,22.9,0.6796649501367896
00:16,class_a,indoor,23.0,24.5,23.844444444444445,23.85,0.4746343621966045
00:16,class_a,top_right_corner,22.6,23.9,23.427777777777777,23.6,0.4437842318564782
00:16,office,indoor,23.1,24.6,23.811111111111114,23.700000000000003,0.4567396535348251
00:18,class_a,bottom_left_corner,23.0,23.6,23.3,23.3,0.4242640687119295
00:18,class_a,bottom_right_corner,21.5,23.5,22.788888888888888,22.9,0.6372684764768392
00:18,class_a,indoor,23.0,24.5,23.853703703703705,23.9,0.4878935575069533
00:18,class_a,top_right_corner,22.6,23.950000000000003,23.450000000000003,23.6,0.4513867521316958
00:18,office,indoor,23.0,24.6,23.811111111111114,23.700000000000003,0.49860917672172017
00:20,class_a,bottom_left_corner,23.0,23.6,23.3,23.3,0.4242640687119295
00:20,class_a,bottom_right_corner,21.4,23.5,22.811111111111114,23.0,0.664161961505709
00:20,class_a,indoor,23.1,24.55,23.901851851851852,24.0,0.4697402092620238
