time_hour_min,place,location,min_value,max_value,mean_value,median_value,std_dev
00:04,office,class_a_floor_heating_2,20.0,495.5,323.8333333333333,410.0,178.81240169518443
00:04,office,hive_heating,3.0,4.0,3.7777777777777777,4.0,0.44095855184409843
00:04,office,meeting_rm_heating,0.0,1.0,0.4444444444444444,0.0,0.5270462766947299
00:04,office,office_copier,5.5,110.0,28.666666666666668,5.5,45.13244398434457
00:04,office,office_heating1,34.5,121.0,77.94444444444444,102.5,39.83516383520693
00:04,office,office_heating2,4.0,77.5,33.833333333333336,7.0,34.656348624746954
00:04,office,office_heating3,0.0,0.0,0.0,0.0,0.0
00:04,office,outdoor_unit_room_light,0.0,0.0,0.0,0.0,0.0
00:04,office,pair_rm_heating,0.0,4.0,2.5555555555555554,3.0,1.130388330520878
00:04,office,server_heating,380.0,385.0,382.05555555555554,381.0,1.666666666666668
00:04,office,sign_power,0.0,0.0,0.0,0.0,0.0
00:04,office,sp,0.0,0.0,0.0,0.0,0.0
00:04,office,water_purifier_heating,1.0,734.5,194.16666666666666,93.0,280.86685012653237
00:06,class_a,ac_indoor_unit,22.5,168.5,45.888888888888886,24.0,47.99464669222091
00:06,class_a,ac_outdoor_unit,21.0,4693.0,1181.611111111111,206.0,1814.7192754283267
00:06,class_a,automatic_door,8.0,28.0,12.055555555555555,9.0,6.7242306457897305
00:06,class_a,outdoor_unit_room_light,0.0,0.0,0.0,0.0,0.0
00:06,office,a_project,25.0,77.5,31.61111111111111,26.0,17.211511006042176
00:06,office,ac,12.0,238.5,67.61111111111111,27.0,78.26668263770422
00:06,office,ac_indoor_unit,0.0,755.0,583.8888888888889,749.0,331.04123400433235
00:06,office,ac_outdoor_unit,0.0,1608.5,1124.3333333333333,1324.5,647.5642825233647
00:06,office,air_conditioner,229.0,968.0,836.3333333333334,940.0,247.9938255279756
00:06,office,automatic_door,2.0,3.0,2.2222222222222223,2.0,0.4409585518440984
00:06,office,b_project,3.0,5.5,4.055555555555555,4.0,0.6346477588219924
00:06,office,barton_heating_window,0.0,0.0,0.0,0.0,0.0
00:06,office,built_in_heating,2.0,4.0,3.4444444444444446,4.0,0.7264831572567789
00:06,office,class_a_floor_heating_1,17.5,339.0,209.0,236.0,115.60276813294742
00:06,office,class_a_floor_heating_2,20.0,555.5,366.5,441.0,203.91787562643938
00:06,office,hive_heating,3.0,4.0,3.6666666666666665,4.0,0.49999999999999994
00:06,office,meeting_rm_heating,0.0,1.0,0.3333333333333333,0.0,0.5
00:06,office,office_copier,4.0,134.0,44.888888888888886,7.0,50.88269461330749
00:06,office,office_heating1,33.0,121.0,78.61111111111111,103.0,42.390135776040054
00:06,office,office_heating2,4.0,74.0,33.94444444444444,7.0,34.31330321869024
00:06,office,office_heating3,0.0,0.0,0.0,0.0,0.0
00:06,office,outdoor_unit_room_light,0.0,0.0,0.0,0.0,0.0
00:06,office,pair_rm_heating,0.0,3.0,2.0,2.0,0.8660254037844386
00:06,office,server_heating,382.0,383.5,382.44444444444446,382.5,0.5270462766947459
00:06,office,sign_power,0.0,0.0,0.0,0.0,0.0
00:06,office,sp,0.0,0.0,0.0,0.0,0.0
00:06,office,water_purifier_heating,1.0,419.5,108.55555555555556,96.0,123.77334235520094
00:08,class_a,ac_indoor_unit,22.5,169.0,46.166666666666664,24.0,48.19815867852215
00:08,class_a,ac_outdoor_unit,22.5,4525.5,899.6666666666666,208.0,1467.3906475441365
00:08,class_a,automatic_door,7.0,27.0,13.5,11.5,6.923691212063114
00:08,class_a,outdoor_unit_room_light,0.0,0.0,0.0,0.0,0.0
00:08,office,a_project,25.0,81.0,37.333333333333336,26.0,22.583179581272432
00:08,office,ac,12.0,168.0,50.27777777777778,13.0,58.77558544535685
00:08,office,ac_indoor_unit,0.0,755.0,583.8333333333334,750.0,331.00755278392063
00:08,office,ac_outdoor_unit,0.0,1607.0,1133.0555555555557,1404.0,651.0918927292657
00:08,office,air_conditioner,230.0,969.0,867.7777777777778,942.0,239.5520704240405
00:08,office,automatic_door,0.0,3.0,1.5555555555555556,2.0,1.0137937550497031
00:08,office,b_project,4.0,4.0,4.0,4.0,0.0
00:08,office,barton_heating_window,0.0,0.0,0.0,0.0,0.0
00:08,office,built_in_heating,3.0,4.0,3.6666666666666665,4.0,0.49999999999999994
00:08,office,class_a_floor_heating_1,19.0,374.0,246.0,285.5,134.46072846745997
00:08,office,class_a_floor_heating_2,20.0,633.0,421.5,505.0,233.68394788688417
00:08,office,hive_heating,2.0,4.0,3.6666666666666665,4.0,0.7071067811865476
00:08,office,meeting_rm_heating,0.0,2.0,0.6666666666666666,1.0,0.7071067811865476
00:08,office,office_copier,4.0,136.5,45.166666666666664,7.0,60.51394467393446
00:08,office,office_heating1,33.0,122.0,77.72222222222223,102.5,41.27659075607437
00:08,office,office_heating2,4.0,88.5,35.111111111111114,7.0,36.14880511318612
00:08,office,office_heating3,0.0,0.0,0.0,0.0,0.0
00:08,office,outdoor_unit_room_light,0.0,0.0,0.0,0.0,0.0
00:08,office,pair_rm_heating,0.0,3.0,2.111111111111111,2.0,0.927960727138337
00:08,office,server_heating,381.0,385.0,382.5,382.5,1.639359631075498
00:08,office,sign_power,0.0,0.0,0.0,0.0,0.0
00:08,office,sp,0.0,0.0,0.0,0.0,0.0
00:08,office,water_purifier_heating,1.0,370.5,107.88888888888889,98.0,107.40774465145012
00:10,class_a,ac_indoor_unit,22.5,168.0,45.94444444444444,24.0,47.897967365826474
00:10,class_a,ac_outdoor_unit,21.5,4289.5,888.3333333333334,209.5,1412.7570341357357
00:10,class_a,automatic_door,8.0,14.0,9.38888888888889,9.0,2.0581815058714112
00:10,class_a,outdoor_unit_room_light,0.0,0.0,0.0,0.0,0.0
00:10,office,a_project,26.0,108.5,38.833333333333336,26.0,28.17135069534296
00:10,office,ac,12.0,91.0,30.944444444444443,13.0,29.06506111773684
00:10,office,ac_indoor_unit,0.0,754.5,583.5555555555555,749.0,330.8499890853524
