time,value,place,location
2024-04-17 04:12:00,713.3333333333334,class_a,indoor
2024-04-17 04:14:00,705.5,class_a,indoor
2024-04-17 04:16:00,717.0,class_a,indoor
2024-04-17 04:18:00,757.0,class_a,indoor
2024-04-17 04:20:00,775.0,class_a,indoor
2024-04-17 04:22:00,759.6666666666666,class_a,indoor
2024-04-17 04:24:00,756.0,class_a,indoor
2024-04-17 04:26:00,772.0,class_a,indoor
2024-04-17 04:28:00,769.0,class_a,indoor
2024-04-17 04:30:00,768.3333333333334,class_a,indoor
2024-04-17 04:32:00,803.6666666666666,class_a,indoor
2024-04-17 04:34:00,817.0,class_a,indoor
2024-04-17 04:36:00,793.6666666666666,class_a,indoor
2024-04-17 04:38:00,794.0,class_a,indoor
2024-04-17 04:40:00,825.5,class_a,indoor
2024-04-17 04:42:00,838.5,class_a,indoor
2024-04-17 04:44:00,823.0,class_a,indoor
2024-04-17 04:46:00,835.5,class_a,indoor
2024-04-17 04:48:00,846.0,class_a,indoor
2024-04-17 04:50:00,818.5,class_a,indoor
2024-04-17 04:52:00,815.5,class_a,indoor
2024-04-17 04:54:00,821.0,class_a,indoor
2024-04-17 04:56:00,832.5,class_a,indoor
2024-04-17 04:58:00,860.0,class_a,indoor
2024-04-17 05:00:00,865.5,class_a,indoor
2024-04-17 05:02:00,860.6666666666666,class_a,indoor
2024-04-17 05:04:00,872.0,class_a,indoor
2024-04-17 05:06:00,860.0,class_a,indoor
2024-04-17 05:08:00,838.0,class_a,indoor
2024-04-17 05:10:00,823.5,class_a,indoor
2024-04-17 05:12:00,812.5,class_a,indoor
2024-04-17 05:14:00,799.0,class_a,indoor
2024-04-17 05:16:00,805.3333333333334,class_a,indoor
2024-04-17 05:18:00,794.0,class_a,indoor
2024-04-17 05:20:00,775.0,class_a,indoor
2024-04-17 05:22:00,777.5,class_a,indoor
2024-04-17 05:24:00,783.5,class_a,indoor
2024-04-17 05:26:00,767.5,class_a,indoor
2024-04-17 05:28:00,763.5,class_a,indoor
2024-04-17 05:30:00,770.5,class_a,indoor
2024-04-17 05:32:00,762.5,class_a,indoor
2024-04-17 05:34:00,757.5,class_a,indoor
2024-04-17 05:36:00,759.5,class_a,indoor
2024-04-17 05:38:00,760.6666666666666,class_a,indoor
2024-04-17 05:40:00,764.0,class_a,indoor
2024-04-17 05:42:00,746.0,class_a,indoor
2024-04-17 05:44:00,727.5,class_a,indoor
2024-04-17 05:46:00,722.5,class_a,indoor
2024-04-17 05:48:00,722.5,class_a,indoor
2024-04-17 05:50:00,728.5,class_a,indoor
2024-04-17 05:52:00,740.5,class_a,indoor
2024-04-17 05:54:00,753.0,class_a,indoor
2024-04-17 05:56:00,770.0,class_a,indoor
2024-04-17 05:58:00,772.5,class_a,indoor
2024-04-17 06:00:00,805.0,class_a,indoor
2024-04-17 06:02:00,823.0,class_a,indoor
2024-04-17 06:04:00,842.5,class_a,indoor
2024-04-17 06:06:00,836.5,class_a,indoor
2024-04-17 06:08:00,807.0,class_a,indoor
2024-04-17 06:10:00,828.5,class_a,indoor
2024-04-17 06:12:00,849.0,class_a,indoor
2024-04-17 06:14:00,828.5,class_a,indoor
2024-04-17 06:16:00,799.0,class_a,indoor
2024-04-17 06:18:00,792.0,class_a,indoor
2024-04-17 06:20:00,808.3333333333334,class_a,indoor
2024-04-17 06:22:00,805.5,class_a,indoor
2024-04-17 06:24:00,808.0,class_a,indoor
2024-04-17 06:26:00,793.0,class_a,indoor
2024-04-17 06:28:00,769.5,class_a,indoor
2024-04-17 06:30:00,795.0,class_a,indoor
2024-04-17 06:32:00,816.5,class_a,indoor
2024-04-17 06:34:00,803.5,class_a,indoor
2024-04-17 06:36:00,780.0,class_a,indoor
2024-04-17 06:38:00,781.5,class_a,indoor
2024-04-17 06:40:00,811.5,class_a,indoor
2024-04-17 06:42:00,819.0,class_a,indoor
2024-04-17 06:44:00,810.0,class_a,indoor
2024-04-17 06:46:00,813.0,class_a,indoor
2024-04-17 06:48:00,800.5,class_a,indoor
2024-04-17 06:50:00,794.5,class_a,indoor
2024-04-17 06:52:00,798.0,class_a,indoor
2024-04-17 06:54:00,808.0,class_a,indoor
2024-04-17 06:56:00,802.0,class_a,indoor
2024-04-17 06:58:00,804.0,class_a,indoor
2024-04-17 07:00:00,822.5,class_a,indoor
2024-04-17 07:02:00,818.0,class_a,indoor
2024-04-17 07:04:00,798.0,class_a,indoor
2024-04-17 07:06:00,788.0,class_a,indoor
2024-04-17 07:08:00,792.0,class_a,indoor
2024-04-17 07:10:00,785.5,class_a,indoor
2024-04-17 07:12:00,775.5,class_a,indoor
2024-04-17 07:14:00,775.5,class_a,indoor
2024-04-17 07:16:00,795.0,class_a,indoor
2024-04-17 07:18:00,817.6666666666666,class_a,indoor
2024-04-17 07:20:00,828.5,class_a,indoor
2024-04-17 07:22:00,828.0,class_a,indoor
2024-04-17 07:24:00,833.0,class_a,indoor
2024-04-17 07:26:00,823.5,class_a,indoor
2024-04-17 07:28:00,826.0,class_a,indoor
2024-04-17 07:30:00,836.0,class_a,indoor
2024-04-17 07:32:00,800.0,class_a,indoor
2024-04-17 07:34:00,775.5,class_a,indoor
2024-04-17 07:36:00,785.5,class_a,indoor
2024-04-17 07:38:00,771.0,class_a,indoor
2024-04-17 07:40:00,763.5,class_a,indoor
2024-04-17 07:42:00,751.5,class_a,indoor
2024-04-17 07:44:00,742.5,class_a,indoor
2024-04-17 07:46:00,753.0,class_a,indoor
2024-04-17 07:48:00,767.0,class_a,indoor
2024-04-17 07:50:00,786.5,class_a,indoor
2024-04-17 07:52:00,801.0,class_a,indoor
2024-04-17 07:54:00,804.0,class_a,indoor
2024-04-17 07:56:00,767.0,class_a,indoor
2024-04-17 07:58:00,746.0,class_a,indoor
2024-04-17 08:00:00,777.0,class_a,indoor
2024-04-17 08:02:00,821.0,class_a,indoor
2024-04-17 08:04:00,844.0,class_a,indoor
2024-04-17 08:06:00,824.0,class_a,indoor
2024-04-17 08:08:00,811.5,class_a,indoor
2024-04-17 08:10:00,817.5,class_a,indoor
2024-04-17 08:12:00,828.0,class_a,indoor
2024-04-17 08:14:00,810.5,class_a,indoor
2024-04-17 08:16:00,797.5,class_a,indoor
2024-04-17 08:18:00,800.5,class_a,indoor
2024-04-17 08:20:00,788.0,class_a,indoor
2024-04-17 08:22:00,784.0,class_a,indoor
2024-04-17 08:24:00,796.0,class_a,indoor
2024-04-17 08:26:00,815.0,class_a,indoor
2024-04-17 08:28:00,804.5,class_a,indoor
2024-04-17 08:30:00,793.5,class_a,indoor
2024-04-17 08:32:00,828.0,class_a,indoor
2024-04-17 08:34:00,870.5,class_a,indoor
2024-04-17 08:36:00,900.5,class_a,indoor
2024-04-17 08:38:00,911.5,class_a,indoor
2024-04-17 08:40:00,873.0,class_a,indoor
2024-04-17 08:42:00,848.0,class_a,indoor
2024-04-17 08:44:00,872.5,class_a,indoor
2024-04-17 08:46:00,870.0,class_a,indoor
2024-04-17 08:48:00,856.5,class_a,indoor
2024-04-17 08:50:00,861.5,class_a,indoor
2024-04-17 08:52:00,847.0,class_a,indoor
2024-04-17 08:54:00,822.5,class_a,indoor
2024-04-17 08:56:00,829.0,class_a,indoor
2024-04-17 08:58:00,852.5,class_a,indoor
2024-04-17 09:00:00,830.0,class_a,indoor
2024-04-17 09:02:00,831.0,class_a,indoor
